Name,url
"Beausejour, Pierre Andre Michael",https://www.cpso.on.ca/DoctorDetails/Pierre-Andre-Michael-Beausejour/0022602-27393
"Beaver, Susan Ann",https://www.cpso.on.ca/DoctorDetails/Susan-Ann-Beaver/0045347-59325
"Beck, Gail Maureen",https://www.cpso.on.ca/DoctorDetails/Gail-Maureen-Beck/0038112-52088
"Beder, Michaela Yehudit",https://www.cpso.on.ca/DoctorDetails/Michaela-Yehudit-Beder/0249981-88900
"Bedford, Robert Michael",https://www.cpso.on.ca/DoctorDetails/Robert-Michael-Bedford/0027735-32558
"Bega, Sivan",https://www.cpso.on.ca/DoctorDetails/Sivan-Bega/0257896-90779
"Behar, Beatriz Maria Romero",https://www.cpso.on.ca/DoctorDetails/Beatriz-Maria-Romero-Behar/0037598-51574
"Behesnilian, Katyg",https://www.cpso.on.ca/DoctorDetails/Katyg-Behesnilian/0039509-53485
"Behzadi, Arian",https://www.cpso.on.ca/DoctorDetails/Arian-Behzadi/0314137-111266
"Beiser, Morton",https://www.cpso.on.ca/DoctorDetails/Morton-Beiser/0050708-64687
"Beitchman, Joseph Henry",https://www.cpso.on.ca/DoctorDetails/Joseph-Henry-Beitchman/0021682-26471
"Beletsky, Vadim",https://www.cpso.on.ca/DoctorDetails/Vadim-Beletsky/0178241-75976
"Ben-Aron, Mark Harvey",https://www.cpso.on.ca/DoctorDetails/Mark-Harvey-BenAron/0021083-25871
"Benassi, Paul Victor",https://www.cpso.on.ca/DoctorDetails/Paul-Victor-Benassi/0273265-95125
"Bender, Ashley David",https://www.cpso.on.ca/DoctorDetails/Ashley-David-Bender/0158595-73844
"Benes, Catherine",https://www.cpso.on.ca/DoctorDetails/Catherine-Benes/0051697-65676
"Benjamin, Dinesh",https://www.cpso.on.ca/DoctorDetails/Dinesh-Benjamin/0285705-100015
"Benjamin, Marcia Dawn",https://www.cpso.on.ca/DoctorDetails/Marcia-Dawn-Benjamin/0142359-71280
"Benjamin, Sophiya",https://www.cpso.on.ca/DoctorDetails/Sophiya-Benjamin/0285704-100014
"Bennett, Mark Robert Gerald",https://www.cpso.on.ca/DoctorDetails/Mark-Robert-Gerald-Bennett/0257531-91065
"Bennett, Teresa Ann",https://www.cpso.on.ca/DoctorDetails/Teresa-Ann-Bennett/0181514-76554
"Benoit, Diane",https://www.cpso.on.ca/DoctorDetails/Diane-Benoit/0042521-56499
"Berber, Mark Joseph",https://www.cpso.on.ca/DoctorDetails/Mark-Joseph-Berber/0042595-56573
"Berdichevsky, Raul",https://www.cpso.on.ca/DoctorDetails/Raul-Berdichevsky/0025468-30291
"Berger, Joseph",https://www.cpso.on.ca/DoctorDetails/Joseph-Berger/0020127-24915
"Bergeron, Richard",https://www.cpso.on.ca/DoctorDetails/Richard-Bergeron/0046040-60018
"Bergstrome, Brant Eric",https://www.cpso.on.ca/DoctorDetails/Brant-Eric-Bergstrome/0050433-64412
"Berkal, Allen Brian",https://www.cpso.on.ca/DoctorDetails/Allen-Brian-Berkal/0043678-57656
"Berntson, Andrea Margaret",https://www.cpso.on.ca/DoctorDetails/Andrea-Margaret-Berntson/0191390-77640
"Besir, Mirjana",https://www.cpso.on.ca/DoctorDetails/Mirjana-Besir/0044144-58122
"Betlen, Cerasela Elena",https://www.cpso.on.ca/DoctorDetails/Cerasela-Elena-Betlen/0243502-87450
"Beyraghi, Narges",https://www.cpso.on.ca/DoctorDetails/Narges-Beyraghi/0297337-104641
"Bhagavatula, Subramanya Sastry",https://www.cpso.on.ca/DoctorDetails/Subramanya-Sastry-Bhagavatula/0198748-78733
"Bhalerao, Shree Uddhav",https://www.cpso.on.ca/DoctorDetails/Shree-Uddhav-Bhalerao/0056662-68250
"Bhangu, Raminder Kaur",https://www.cpso.on.ca/DoctorDetails/Raminder-Kaur-Bhangu/0049197-63175
"Bhaskara, Sreenivasa Murthy",https://www.cpso.on.ca/DoctorDetails/Sreenivasa-Murthy-Bhaskara/0297346-104932
"Bhat, Venkat",https://www.cpso.on.ca/DoctorDetails/Venkat-Bhat/0276725-113570
"Bhathala Venkata, Narasimha Prasad",https://www.cpso.on.ca/DoctorDetails/Narasimha-Prasad-Bhathala-Venkata/0321632-114007
"Bhatla, Rajiv",https://www.cpso.on.ca/DoctorDetails/Rajiv-Bhatla/0050890-64869
"Bhatnagar, Vinod Kumar",https://www.cpso.on.ca/DoctorDetails/Vinod-Kumar-Bhatnagar/0303615-108525
"Bhattacharya, Ashok",https://www.cpso.on.ca/DoctorDetails/Ashok-Bhattacharya/0040974-54950
"Bhide, Devayanee Madhusudan",https://www.cpso.on.ca/DoctorDetails/Devayanee-Madhusudan-Bhide/0030513-42493
"Bibr, Henry Jindrich",https://www.cpso.on.ca/DoctorDetails/Henry-Jindrich-Bibr/0047940-61918
"Bigelow, Gayle Sandra",https://www.cpso.on.ca/DoctorDetails/Gayle-Sandra-Bigelow/0038431-52407
"Biggar, Ruth Ann",https://www.cpso.on.ca/DoctorDetails/Ruth-Ann-Biggar/0031810-43790
"Bilkey, Timothy Stuart",https://www.cpso.on.ca/DoctorDetails/Timothy-Stuart-Bilkey/0036180-50156
"Binder, Tammy Lee",https://www.cpso.on.ca/DoctorDetails/Tammy-Lee-Binder/0051090-65069
"Bingham, Kathleen Sarah",https://www.cpso.on.ca/DoctorDetails/Kathleen-Sarah-Bingham/0265543-93221
"Birdi, Girish Kumar",https://www.cpso.on.ca/DoctorDetails/Girish-Kumar-Birdi/0133386-70836
"Bishop, Joan Elizabeth Haglund",https://www.cpso.on.ca/DoctorDetails/Joan-Elizabeth-Haglund-Bishop/0019821-24609
"Bishop, Susan Leslie",https://www.cpso.on.ca/DoctorDetails/Susan-Leslie-Bishop/0048697-62675
"Bishop, Winnifred Mary Elizabeth",https://www.cpso.on.ca/DoctorDetails/Winnifred-Mary-Elizabeth-Bishop/0036184-50160
"Bismil, Ramprasad",https://www.cpso.on.ca/DoctorDetails/Ramprasad-Bismil/0232361-84945
"Bismil, Supuneet",https://www.cpso.on.ca/DoctorDetails/Supuneet-Bismil/0258548-91045
"Bismonte, Maria Dulce Buenafe",https://www.cpso.on.ca/DoctorDetails/Maria-Dulce-Buenafe-Bismonte/0049079-63057
"Bissada, Hany Edgard",https://www.cpso.on.ca/DoctorDetails/Hany-Edgard-Bissada/0036185-50161
"Blackman, Adam Simon",https://www.cpso.on.ca/DoctorDetails/Adam-Simon-Blackman/0051252-65231
"Blank, Diana Sabina",https://www.cpso.on.ca/DoctorDetails/Diana-Sabina-Blank/0232728-84996
"Blichowski, Teresa Danuta",https://www.cpso.on.ca/DoctorDetails/Teresa-Danuta-Blichowski/0051778-65757
"Bloom, Hy",https://www.cpso.on.ca/DoctorDetails/Hy-Bloom/0040162-54138
"Blumberger, Daniel Michael",https://www.cpso.on.ca/DoctorDetails/Daniel-Michael-Blumberger/0201260-79390
